trp_multiplayer_profile_troop_male|multiplayer profile troop male{***}
trp_gekokujo_uesugi_master_archer_pl|会 津 铳 队 士 
trp_gekokujo_uesugi_hatamoto_guard|会 津 鎮 將 队
trp_gekokujo_uesugi_hatamoto_guard_pl|会 津 鎮 將 队
trp_gekokujo_uesugi_hatamoto_cavalry|上 杉 母 衣 众 
trp_gekokujo_uesugi_hatamoto_cavalry_pl|上 杉 母 衣 众 
trp_gekokujo_uesugi_messenger|上 杉 信 使 
trp_gekokujo_uesugi_messenger_pl|上 杉 信 使 
trp_gekokujo_uesugi_deserter|上 杉 逃 兵 
trp_gekokujo_uesugi_deserter_pl|上 杉 逃 兵 
trp_gekokujo_uesugi_prison_guard|上 杉 监 狱 守 卫 
trp_gekokujo_uesugi_prison_guard_pl|上 杉 监 狱 守 卫 
trp_gekokujo_uesugi_castle_guard|上 杉 城 堡 卫 队 
trp_gekokujo_uesugi_castle_guard_pl|上 杉 城 堡 卫 队 
trp_gekokujo_date_jizamurai|仙 台 藩 士 
trp_gekokujo_date_jizamurai_pl|仙 台 藩 士 
trp_gekokujo_date_retainer|仙 台 家 臣 团 徒 士 番 
trp_gekokujo_date_retainer_pl|仙 台 家 臣 团 徒 士 番 
trp_gekokujo_date_marksman|仙 台 持 弓 众 
trp_gekokujo_date_marksman_pl|仙 台 持 弓 众 
trp_gekokujo_date_veteran_retainer|仙 台 家 臣 团 小 姓 番 
trp_gekokujo_date_veteran_retainer_pl|仙 台 家 臣 团 小 姓 番 
trp_gekokujo_date_mounted_retainer|仙 台 马 回 众  
trp_gekokujo_date_mounted_retainer_pl|仙 台 马 回 众  
trp_gekokujo_date_samurai_gunner|仙 台 铁 炮 众  
trp_gekokujo_date_samurai_gunner_pl|仙 台 铁 炮 众  
trp_gekokujo_date_samurai_archer|仙 台 资 深 持 弓 众 
trp_gekokujo_date_samurai_archer_pl|仙 台 资 深 持 弓 众 
trp_gekokujo_date_officer|仙 台 家 臣 团 书 院番  
trp_gekokujo_date_officer_pl|仙 台 家 臣 团 书 院番  
trp_gekokujo_date_mounted_officer|仙 台 家 臣 团 良 马 队
trp_gekokujo_date_mounted_officer_pl|仙 台 家 臣 团 良 马 队
trp_gekokujo_date_master_gunner|仙 台 精 锐 铁 炮 众  
trp_gekokujo_date_master_gunner_pl|仙 台 精 锐 铁 炮 众  
trp_gekokujo_date_master_archer|仙 台 额 兵 队 
trp_gekokujo_date_master_archer_pl|仙 台 额 兵 队 
trp_gekokujo_date_hatamoto_guard|仙 台 家 臣 团 旗 本
trp_gekokujo_date_hatamoto_guard_pl|仙 台 家 臣 团 旗 本
trp_gekokujo_date_hatamoto_cavalry|仙 台 家 臣 团 母 衣 众 
trp_gekokujo_date_hatamoto_cavalry_pl|仙 台 家 臣 团 母 衣 众 
trp_gekokujo_date_messenger|仙 台 使 者 
trp_gekokujo_date_messenger_pl|仙 台 使 者 
trp_gekokujo_date_deserter|仙 台 逃 兵 
trp_gekokujo_date_deserter_pl|仙 台 逃 兵 
trp_gekokujo_date_prison_guard|仙 台 监 狱 守 卫
trp_gekokujo_date_prison_guard_pl|仙 台 监 狱 守 卫
trp_gekokujo_date_castle_guard|仙 台 城 堡 卫 队
trp_gekokujo_date_castle_guard_pl|仙 台 城 堡 卫 队
trp_gekokujo_oda_jizamurai|藤 堂 藩 士 
trp_gekokujo_oda_jizamurai_pl|藤 堂 藩 士 
trp_gekokujo_oda_retainer|藤 堂 徒 士 番 
trp_gekokujo_oda_retainer_pl|藤 堂 徒 士 番 
trp_gekokujo_oda_marksman|藤 堂 持 弓 众 
trp_gekokujo_oda_marksman_pl|藤 堂 持 弓 众 
trp_gekokujo_oda_veteran_retainer|藤 堂 小 姓 番 
trp_gekokujo_oda_veteran_retainer_pl|藤 堂 小 姓 番 
trp_gekokujo_oda_mounted_retainer|藤 堂 马 回 众  
trp_gekokujo_oda_mounted_retainer_pl|藤 堂 马 回 众  
trp_gekokujo_oda_samurai_gunner|藤 堂 铁 炮 众  
trp_gekokujo_oda_samurai_gunner_pl|藤 堂 铁 炮 众  
trp_gekokujo_oda_samurai_archer|藤 堂 资 深 持 弓 众 
trp_gekokujo_oda_samurai_archer_pl|藤 堂 资 深 持 弓 众 
trp_gekokujo_oda_officer|山 崎 関 門 守 卫 队
trp_gekokujo_oda_officer_pl|山 崎 関 門 守 卫 队
trp_gekokujo_oda_mounted_officer|山 崎 関 門 马 回 队 
trp_gekokujo_oda_mounted_officer_pl|山 崎 関 門 马 回 队 
trp_gekokujo_oda_master_gunner|藤 堂  西 式 常 备 军 
trp_gekokujo_oda_master_gunner_pl|藤 堂  西 式 常 备 军 
trp_gekokujo_oda_master_archer|藤 堂 精 锐 持 弓 众 
trp_gekokujo_oda_master_archer_pl|藤 堂 精 锐 持 弓 众 
trp_gekokujo_oda_hatamoto_cavalry|藤 堂 母 衣 众 
trp_gekokujo_oda_hatamoto_cavalry_pl|藤 堂 母 衣 众 
trp_gekokujo_oda_hatamoto_gunner|山 崎 関 門 步 枪 队 
trp_gekokujo_oda_hatamoto_gunner_pl|山 崎 関 門 步 枪 队 
trp_gekokujo_oda_messenger|藤 堂 使 者
trp_gekokujo_oda_messenger_pl|藤 堂 使 者
trp_gekokujo_oda_deserter|藤 堂 逃 兵
trp_gekokujo_oda_deserter_pl|藤 堂 逃 兵
trp_gekokujo_oda_prison_guard|藤 堂 监 狱 守 卫
trp_gekokujo_oda_prison_guard_pl|藤 堂 监 狱 守 卫
trp_gekokujo_oda_castle_guard|藤 堂 城 堡 卫 队
trp_gekokujo_oda_castle_guard_pl|藤 堂 城 堡 卫 队
trp_gekokujo_mori_jizamurai|长 州 藩 尊 王 派 志 士 
trp_gekokujo_mori_jizamurai_pl|长 州 藩 尊 王 派 志 士 
trp_gekokujo_mori_retainer|长 州 藩 报 国 队 
trp_gekokujo_mori_retainer_pl|长 州 藩 报 国 队 
trp_gekokujo_mori_marksman|长 州 尊 王 派 火 枪 藩 士 
trp_gekokujo_mori_marksman_pl|长 州 尊 王 派 火 枪 藩 士 
trp_gekokujo_mori_veteran_retainer|长 州 尊 王 派 中 士 
trp_gekokujo_mori_veteran_retainer_pl|长 州 尊 王 派 中 士 
trp_gekokujo_mori_mounted_retainer|长 州 马 回 众  
trp_gekokujo_mori_mounted_retainer_pl|长 州 马 回 众  
trp_gekokujo_mori_samurai_gunner|长 州 尊 王 派 新 军 
trp_gekokujo_mori_samurai_gunner_pl|长 州 尊 王 派 新 军 
trp_gekokujo_mori_samurai_archer|长 州 资 深 持 弓 众 
trp_gekokujo_mori_samurai_archer_pl|长 州 资 深 持 弓 众 
trp_gekokujo_mori_officer|长 州 尊 王 派 上 士 
trp_gekokujo_mori_officer_pl|长 州 尊 王 派 上 士 
trp_gekokujo_mori_mounted_officer|长 州 新 式 骑 兵 
trp_gekokujo_mori_mounted_officer_pl|长 州 新 式 骑 兵 
trp_gekokujo_mori_master_gunner|长 州 游 擊 队 
trp_gekokujo_mori_master_gunner_pl|长 州 游 擊 队 
trp_gekokujo_mori_master_archer|长 州 白 熊 军 官 
trp_gekokujo_mori_master_archer_pl|长 州 白 熊 军 官 
trp_gekokujo_mori_hatamoto_guard|长 州 旗 本 
trp_gekokujo_mori_hatamoto_guard_pl|长 州 旗 本 
trp_gekokujo_mori_hatamoto_cavalry|长 州 配 枪 骑 兵
trp_gekokujo_mori_hatamoto_cavalry_pl|长 州 配 枪 骑 兵
trp_gekokujo_mori_messenger|毛 利 信 使
trp_gekokujo_mori_messenger_pl|毛 利 信 使
trp_gekokujo_mori_deserter|毛 利 逃 兵
trp_gekokujo_mori_deserter_pl|毛 利 逃 兵
trp_gekokujo_mori_prison_guard|毛 利 监 狱 守 卫
trp_gekokujo_mori_prison_guard_pl|毛 利 监 狱 守 卫
trp_gekokujo_mori_castle_guard|毛 利 城 堡 卫 队
trp_gekokujo_mori_castle_guard_pl|毛 利 城 堡 卫 队
trp_gekokujo_takeda_jizamurai|福 井 藩 士
trp_gekokujo_takeda_jizamurai_pl|福 井 藩 士
trp_gekokujo_takeda_retainer|福 井 徒 士 番 
trp_gekokujo_takeda_retainer_pl|福 井 徒 士 番 
trp_gekokujo_takeda_marksman|福 井 铁 炮 藩 士
trp_gekokujo_takeda_marksman_pl|福 井 铁 炮 藩 士
trp_gekokujo_takeda_veteran_retainer|福 井 小 姓 番 
trp_gekokujo_takeda_veteran_retainer_pl|福 井 小 姓 番 
trp_gekokujo_takeda_mounted_retainer|福 井 马 回 众  
trp_gekokujo_takeda_mounted_retainer_pl|福 井 马 回 众  
trp_gekokujo_takeda_samurai_gunner|福 井 铁 炮 众  
trp_gekokujo_takeda_samurai_gunner_pl|福 井 铁 炮 众  
trp_gekokujo_takeda_samurai_archer|福 井 资 深 持 弓 众 
trp_gekokujo_takeda_samurai_archer_pl|福 井 资 深 持 弓 众 
trp_gekokujo_takeda_officer|福 井 书 院番  
trp_gekokujo_takeda_officer_pl|福 井 书 院番  
trp_gekokujo_takeda_mounted_officer|福 井 骑 马 书 院番  
trp_gekokujo_takeda_mounted_officer_pl|福 井 骑 马 书 院番  
trp_gekokujo_takeda_master_gunner|福 井 西 式 新 军 
trp_gekokujo_takeda_master_gunner_pl|福 井 西 式 新 军 
trp_gekokujo_takeda_master_archer|福 井 神 射 手 
trp_gekokujo_takeda_master_archer_pl|福 井 神 射 手 
trp_gekokujo_takeda_hatamoto_cavalry|福 井 母 衣 众 
trp_gekokujo_takeda_hatamoto_cavalry_pl|福 井 母 衣 众 
trp_gekokujo_takeda_hatamoto_archer|越 前 洋 式 铳 队 
trp_gekokujo_takeda_hatamoto_archer_pl|越 前 洋 式 铳 队 
trp_gekokujo_takeda_messenger|福 井 信 使
trp_gekokujo_takeda_messenger_pl|福 井 信 使
trp_gekokujo_takeda_deserter|福 井 逃 兵
trp_gekokujo_takeda_deserter_pl|福 井 逃 兵
trp_gekokujo_takeda_prison_guard|福 井 监 狱 守 卫
trp_gekokujo_takeda_prison_guard_pl|福 井 监 狱 守 卫
trp_gekokujo_takeda_castle_guard|福 井 城 堡 卫 队
trp_gekokujo_takeda_castle_guard_pl|福 井 城 堡 卫 队
trp_gekokujo_tokugawa_jizamurai|幕 府 藩 士 
trp_gekokujo_tokugawa_jizamurai_pl|幕 府 藩 士 
trp_gekokujo_tokugawa_retainer|德 川 徒 士 番 
trp_gekokujo_tokugawa_retainer_pl|德 川 徒 士 番
trp_gekokujo_tokugawa_marksman|幕 府 新 军 
trp_gekokujo_tokugawa_marksman_pl|幕 府 新 军 
trp_gekokujo_tokugawa_veteran_retainer|德 川 小 姓 番 
trp_gekokujo_tokugawa_veteran_retainer_pl|德 川 小 姓 番 
trp_gekokujo_tokugawa_mounted_retainer|德 川 马 回 众  
trp_gekokujo_tokugawa_mounted_retainer_pl|德 川 马 回 众  
trp_gekokujo_tokugawa_samurai_gunner|幕 府 陆 军 
trp_gekokujo_tokugawa_samurai_gunner_pl|幕 府 陆 军 
trp_gekokujo_tokugawa_samurai_archer|幕 府 弓 名 人 
trp_gekokujo_tokugawa_samurai_archer_pl|幕 府 弓 名 人 
trp_gekokujo_tokugawa_officer|德 川 书 院番 
trp_gekokujo_tokugawa_officer_pl|德 川 书 院番  
trp_gekokujo_tokugawa_mounted_officer|传 习 队 骑 兵 
trp_gekokujo_tokugawa_mounted_officer_pl|传 习 队 骑 兵 
trp_gekokujo_tokugawa_master_gunner|传 习 队 步 兵 
trp_gekokujo_tokugawa_master_gunner_pl|传 习 队 步 兵 
trp_gekokujo_tokugawa_master_archer|幕 府 军 官 
trp_gekokujo_tokugawa_master_archer_pl|幕 府 军 官 
trp_gekokujo_tokugawa_hatamoto_guard|德 川 小 十 人 众
trp_gekokujo_tokugawa_hatamoto_guard_pl|德 川 小 十 人 众 
trp_gekokujo_tokugawa_hatamoto_gunner|传 习 队 精 锐 步 兵 
trp_gekokujo_tokugawa_hatamoto_gunner_pl|传 习 队 精 锐 步 兵 
trp_gekokujo_tokugawa_messenger|德 川 信 使
trp_gekokujo_tokugawa_messenger_pl|德 川 信 使
trp_gekokujo_tokugawa_deserter|德 川 逃 兵
trp_gekokujo_tokugawa_deserter_pl|德 川 逃 兵
trp_gekokujo_tokugawa_prison_guard|德 川 监 狱 守 卫
trp_gekokujo_tokugawa_prison_guard_pl|德 川 监 狱 守 卫
trp_gekokujo_tokugawa_castle_guard|德 川 城 堡 卫 队
trp_gekokujo_tokugawa_castle_guard_pl|德 川 城 堡 卫 队
trp_gekokujo_miyoshi_jizamurai|纪 州 藩 士 
trp_gekokujo_miyoshi_jizamurai_pl|纪 州 藩 士 
trp_gekokujo_miyoshi_retainer|纪 州 徒 士 番 
trp_gekokujo_miyoshi_retainer_pl|纪 州 徒 士 番 
trp_gekokujo_miyoshi_marksman|纪 州 持 弓 众 
trp_gekokujo_miyoshi_marksman_pl|纪 州 持 弓 众 
trp_gekokujo_miyoshi_veteran_retainer|纪 州 小 姓 番 
trp_gekokujo_miyoshi_veteran_retainer_pl|纪 州 小 姓 番 
trp_gekokujo_miyoshi_mounted_retainer|纪 州 马 回 众  
trp_gekokujo_miyoshi_mounted_retainer_pl|纪 州 马 回 众  
trp_gekokujo_miyoshi_samurai_gunner|纪 州 铁 炮 众  
trp_gekokujo_miyoshi_samurai_gunner_pl|纪 州 铁 炮 众  
trp_gekokujo_miyoshi_samurai_archer|纪 州 资 深 持 弓 众 
trp_gekokujo_miyoshi_samurai_archer_pl|纪 州 资 深 持 弓 众 
trp_gekokujo_miyoshi_officer|纪 州 书 院番  
trp_gekokujo_miyoshi_officer_pl|纪 州 书 院番  
trp_gekokujo_miyoshi_mounted_officer|纪 州 骑 马 书 院 番  
trp_gekokujo_miyoshi_mounted_officer_pl|纪 州 骑 马 书 院 番  
trp_gekokujo_miyoshi_master_gunner|纪 州 新 军 
trp_gekokujo_miyoshi_master_gunner_pl|纪 州 新 军  
trp_gekokujo_miyoshi_master_archer|纪 州 精 锐 持 弓 众 
trp_gekokujo_miyoshi_master_archer_pl|纪 州 精 锐 持 弓 众 
trp_gekokujo_miyoshi_hatamoto_guard|纪 州 旗 本 众
trp_gekokujo_miyoshi_hatamoto_guard_pl|纪 州 旗 本 众
trp_gekokujo_miyoshi_hatamoto_gunner|纪 州 游 击 队 
trp_gekokujo_miyoshi_hatamoto_gunner_pl|纪 州 游 击 队 
trp_gekokujo_miyoshi_messenger|纪 州 信 使
trp_gekokujo_miyoshi_messenger_pl|纪 州 信 使
trp_gekokujo_miyoshi_deserter|纪 州 逃 兵 
trp_gekokujo_miyoshi_deserter_pl|纪 州 逃 兵 
trp_gekokujo_miyoshi_prison_guard|纪 州 监 狱 守 卫
trp_gekokujo_miyoshi_prison_guard_pl|纪 州 监 狱 守 卫
trp_gekokujo_miyoshi_castle_guard|纪 州 城 堡 卫 队
trp_gekokujo_miyoshi_castle_guard_pl|纪 州 城 堡 卫 队
trp_gekokujo_amako_jizamurai|鸟 取 藩 士 
trp_gekokujo_amako_jizamurai_pl|鸟 取 藩 士 
trp_gekokujo_amako_retainer|鸟 取 徒 士 番 
trp_gekokujo_amako_retainer_pl|鸟 取 徒 士 番 
trp_gekokujo_amako_marksman|鸟 取 持 弓 众 
trp_gekokujo_amako_marksman_pl|鸟 取 持 弓 众 
trp_gekokujo_amako_veteran_retainer|鸟 取 小 姓 番 
trp_gekokujo_amako_veteran_retainer_pl|鸟 取 小 姓 番 
trp_gekokujo_amako_mounted_retainer|鸟 取 马 回 众  
trp_gekokujo_amako_mounted_retainer_pl|鸟 取 马 回 众  
trp_gekokujo_amako_samurai_gunner|鸟 取 铁 炮 众  
trp_gekokujo_amako_samurai_gunner_pl|鸟 取 铁 炮 众  
trp_gekokujo_amako_samurai_archer|鸟 取 资 深 持 弓 众 
trp_gekokujo_amako_samurai_archer_pl|鸟 取 资 深 持 弓 众 
trp_gekokujo_amako_officer|鸟 取 书 院 番  
trp_gekokujo_amako_officer_pl|鸟 取 书 院 番  
trp_gekokujo_amako_mounted_officer|鸟 取 骑 马 书 院 番  
trp_gekokujo_amako_mounted_officer_pl|鸟 取 骑 马 书 院 番  
trp_gekokujo_amako_master_gunner|鸟 取 精 锐 铁 炮 众  
trp_gekokujo_amako_master_gunner_pl|鸟 取 精 锐 铁 炮 众  
trp_gekokujo_amako_master_archer|鸟 取 新 国 队 
trp_gekokujo_amako_master_archer_pl|鸟 取 新 国 队
trp_gekokujo_amako_hatamoto_guard|鸟 取 健 雄 队 
trp_gekokujo_amako_hatamoto_guard_pl|鸟 取 健 雄 队
trp_gekokujo_amako_hatamoto_cavalry|鸟 取 母 衣 众 
trp_gekokujo_amako_hatamoto_cavalry_pl|鸟 取 母 衣 众 
trp_gekokujo_amako_messenger|鸟 取 信 使 
trp_gekokujo_amako_messenger_pl|鸟 取 信 使 
trp_gekokujo_amako_deserter|鸟 取 逃 兵 
trp_gekokujo_amako_deserter_pl|鸟 取 逃 兵 
trp_gekokujo_amako_prison_guard|鸟 取 监 狱 守 卫
trp_gekokujo_amako_prison_guard_pl|鸟 取 监 狱 守 卫
trp_gekokujo_amako_castle_guard|鸟 取 城 堡 卫 队
trp_gekokujo_amako_castle_guard_pl|鸟 取 城 堡 卫 队
trp_gekokujo_otomo_jizamurai|福 冈 藩 士 
trp_gekokujo_otomo_jizamurai_pl|福 冈 藩 士 
trp_gekokujo_otomo_retainer|福 冈 徒 士 番 
trp_gekokujo_otomo_retainer_pl|福 冈 徒 士 番 
trp_gekokujo_otomo_marksman|福 冈 持 弓 众 
trp_gekokujo_otomo_marksman_pl|福 冈 持 弓 众 
trp_gekokujo_otomo_veteran_retainer|福 冈 小 姓 番 
trp_gekokujo_otomo_veteran_retainer_pl|福 冈 小 姓 番 
trp_gekokujo_otomo_mounted_retainer|福 冈 马 回 众  
trp_gekokujo_otomo_mounted_retainer_pl|福 冈 马 回 众  
trp_gekokujo_otomo_samurai_gunner|福 冈 铁 炮 众  
trp_gekokujo_otomo_samurai_gunner_pl|福 冈 铁 炮 众  
trp_gekokujo_otomo_samurai_archer|福 冈 资 深 持 弓 众 
trp_gekokujo_otomo_samurai_archer_pl|大 资 深 持 弓 众 
trp_gekokujo_otomo_officer|福 冈 书 院 番  
trp_gekokujo_otomo_officer_pl|福 冈 书 院 番  
trp_gekokujo_otomo_mounted_officer|福 冈 骑 马 书 院 番  
trp_gekokujo_otomo_mounted_officer_pl|福 冈 骑 马 书 院 番  
trp_gekokujo_otomo_master_gunner|福 冈 精 锐 铁 炮 众  
trp_gekokujo_otomo_master_gunner_pl|福 冈 精 锐 铁 炮 众  
trp_gekokujo_otomo_master_archer|福 冈 精 锐 持 弓 众 
trp_gekokujo_otomo_master_archer_pl|福 冈 精 锐 持 弓 众 
trp_gekokujo_otomo_hatamoto_cavalry|福 冈 御 马 回 组 
trp_gekokujo_otomo_hatamoto_cavalry_pl|福 冈 御 马 回 组 
trp_gekokujo_otomo_hatamoto_archer|福 冈 侧 筒 组 
trp_gekokujo_otomo_hatamoto_archer_pl|福 侧 筒 组 
trp_gekokujo_otomo_messenger|福 冈 信 使
trp_gekokujo_otomo_messenger_pl|福 冈 信 使
trp_gekokujo_otomo_deserter|福 冈 逃 兵
trp_gekokujo_otomo_deserter_pl|福 冈 逃 兵
trp_gekokujo_otomo_prison_guard|福 冈 监 狱 守 卫
trp_gekokujo_otomo_prison_guard_pl|福 冈 监 狱 守 卫
trp_gekokujo_otomo_castle_guard|福 冈 城 堡 卫 队
trp_gekokujo_otomo_castle_guard_pl|福 冈 城 堡 卫 队
trp_gekokujo_nanbu_jizamurai|南 部 藩 士 
trp_gekokujo_nanbu_jizamurai_pl|南 部 藩 士 
trp_gekokujo_nanbu_retainer|南 部 徒 士 番 
trp_gekokujo_nanbu_retainer_pl|南 部 徒 士 番 
trp_gekokujo_nanbu_marksman|南 部 持 弓 众 
trp_gekokujo_nanbu_marksman_pl|南 部 持 弓 众 
trp_gekokujo_nanbu_veteran_retainer|南 部 天 象 队 
trp_gekokujo_nanbu_veteran_retainer_pl|南 部 天 象 队 
trp_gekokujo_nanbu_mounted_retainer|南 部 马 回 众  
trp_gekokujo_nanbu_mounted_retainer_pl|南 部 马 回 众  
trp_gekokujo_nanbu_samurai_gunner|南 部 铁 炮 众  
trp_gekokujo_nanbu_samurai_gunner_pl|南 部 铁 炮 众  
trp_gekokujo_nanbu_samurai_archer|南 部 资 深 持 弓 众 
trp_gekokujo_nanbu_samurai_archer_pl|南 部 资 深 持 弓 众 
trp_gekokujo_nanbu_officer|南 部 地 仪 队 
trp_gekokujo_nanbu_officer_pl|南 部 地 仪 队 
trp_gekokujo_nanbu_mounted_officer|南 部 骑 马 书 院番  
trp_gekokujo_nanbu_mounted_officer_pl|南 部 骑 马 书 院番  
trp_gekokujo_nanbu_master_gunner|南 部 精 锐 铁 炮 众  
trp_gekokujo_nanbu_master_gunner_pl|南 部 精 锐 铁 炮 众  
trp_gekokujo_nanbu_master_archer|南 部 精 锐 持 弓 众 
trp_gekokujo_nanbu_master_archer_pl|南 部 精 锐 持 弓 众 
trp_gekokujo_nanbu_hatamoto_cavalry|南 部 母 衣 众 
trp_gekokujo_nanbu_hatamoto_cavalry_pl|南 部 母 衣 众 
trp_gekokujo_nanbu_hatamoto_gunner|南 部 圣 武 队 
trp_gekokujo_nanbu_hatamoto_gunner_pl|南 部 圣 武 队 
trp_gekokujo_nanbu_messenger|南 部 信 使
trp_gekokujo_nanbu_messenger_pl|南 部 信 使
trp_gekokujo_nanbu_deserter|南 部 逃 兵
trp_gekokujo_nanbu_deserter_pl|南 部 逃 兵
trp_gekokujo_nanbu_prison_guard|南 部 监 狱 守 卫
trp_gekokujo_nanbu_prison_guard_pl|南 部 监 狱 守 卫
trp_gekokujo_nanbu_castle_guard|南 部 城 堡 卫 队
trp_gekokujo_nanbu_castle_guard_pl|南 部 城 堡 卫 队
trp_gekokujo_asakura_jizamurai|桑 名 藩 士 
trp_gekokujo_asakura_jizamurai_pl|桑 名 藩 士 
trp_gekokujo_asakura_retainer|桑 名 徒 士 番 
trp_gekokujo_asakura_retainer_pl|桑 名 徒 士 番 
trp_gekokujo_asakura_marksman|桑 名 铁 炮 藩 士 
trp_gekokujo_asakura_marksman_pl|桑 名 铁 炮 藩 士 
trp_gekokujo_asakura_veteran_retainer|桑 名 小 姓 番 
trp_gekokujo_asakura_veteran_retainer_pl|桑 名 小 姓 番 
trp_gekokujo_asakura_mounted_retainer|桑 名 马 回 众  
trp_gekokujo_asakura_mounted_retainer_pl|桑 名 马 回 众  
trp_gekokujo_asakura_samurai_gunner|桑 名 铁 炮 众  
trp_gekokujo_asakura_samurai_gunner_pl|桑 名 铁 炮 众  
trp_gekokujo_asakura_samurai_archer|桑 名 精 资 深 持 弓 众 
trp_gekokujo_asakura_samurai_archer_pl|桑 名 资 深 持 弓 众 
trp_gekokujo_asakura_officer|桑 名 神 風 队
trp_gekokujo_asakura_officer_pl|桑 名 神 風 队
trp_gekokujo_asakura_mounted_officer|桑 名 御 马 廻 众 
trp_gekokujo_asakura_mounted_officer_pl|桑 名 御 马 廻 众
trp_gekokujo_asakura_master_gunner|桑 名 致 人 队 
trp_gekokujo_asakura_master_gunner_pl|桑 名 致 人 队 
trp_gekokujo_asakura_master_archer|桑 名 精 锐 持 弓 众 
trp_gekokujo_asakura_master_archer_pl|桑 名 精 锐 持 弓 众 
trp_gekokujo_asakura_hatamoto_gunner|桑 名 雷 神 队 
trp_gekokujo_asakura_hatamoto_gunner_pl|桑 名 雷 神 队 
trp_gekokujo_asakura_hatamoto_archer|桑 名 神 射 手 
trp_gekokujo_asakura_hatamoto_archer_pl|桑 名 神 射 手 
trp_gekokujo_asakura_messenger|桑 名 信 使
trp_gekokujo_asakura_messenger_pl|桑 名 信 使
trp_gekokujo_asakura_deserter|桑 名 逃 兵
trp_gekokujo_asakura_deserter_pl|桑 名 逃 兵
trp_gekokujo_asakura_prison_guard|桑 名 监 狱 守 卫
trp_gekokujo_asakura_prison_guard_pl|桑 名 监 狱 守 卫
trp_gekokujo_asakura_castle_guard|京 都 所 司 代 护 卫 队
trp_gekokujo_asakura_castle_guard_pl|京 都 所 司 代 护 卫 队
trp_gekokujo_chosokabe_jizamurai|土 佐 藩 藩 士 
trp_gekokujo_chosokabe_jizamurai_pl|土 佐 藩 藩 士 
trp_gekokujo_chosokabe_retainer|土 佐 藩 武 士
trp_gekokujo_chosokabe_retainer_pl|土 佐 藩 武 士
trp_gekokujo_chosokabe_marksman|土 佐 藩 铁 炮 众  
trp_gekokujo_chosokabe_marksman_pl|土 佐 藩 铁 炮 众  
trp_gekokujo_chosokabe_veteran_retainer|土 佐 藩 小 姓 番 
trp_gekokujo_chosokabe_veteran_retainer_pl|土 佐 藩 小 姓 番 
trp_gekokujo_chosokabe_mounted_retainer|土 佐 御 马 回 队
trp_gekokujo_chosokabe_mounted_retainer_pl|土 佐 御 马 回 队
trp_gekokujo_chosokabe_samurai_gunner|土 佐 胡 蝶 队 
trp_gekokujo_chosokabe_samurai_gunner_pl|土 佐 胡 蝶 队 
trp_gekokujo_chosokabe_samurai_archer|土 佐 护 国 队 
trp_gekokujo_chosokabe_samurai_archer_pl|土 佐 护 国 队 
trp_gekokujo_chosokabe_officer|土 佐 藩 上 士 
trp_gekokujo_chosokabe_officer_pl|土 佐 藩 上 士 
trp_gekokujo_chosokabe_mounted_officer|土 佐 陆 援 队 骑 兵
trp_gekokujo_chosokabe_mounted_officer_pl|土 佐 陆 援 队 骑 兵
trp_gekokujo_chosokabe_master_gunner|土 佐 断 金 队 
trp_gekokujo_chosokabe_master_gunner_pl|土 佐 断 金 队 
trp_gekokujo_chosokabe_master_archer|土 佐 赤 熊 军 官 
trp_gekokujo_chosokabe_master_archer_pl|土 佐 赤 熊 军 官 
trp_gekokujo_chosokabe_hatamoto_guard|土 佐 藩 旗 本 
trp_gekokujo_chosokabe_hatamoto_guard_pl|土 佐 藩 旗 本 
trp_gekokujo_chosokabe_hatamoto_archer|土 佐 神 射 手 
trp_gekokujo_chosokabe_hatamoto_archer_pl|土 佐 神 射 手 
trp_gekokujo_chosokabe_messenger|土 佐 信 使
trp_gekokujo_chosokabe_messenger_pl|土 佐 信 使
trp_gekokujo_chosokabe_deserter|土 佐 逃 兵
trp_gekokujo_chosokabe_deserter_pl|土 佐 逃 兵
trp_gekokujo_chosokabe_prison_guard|土 佐 监 狱 守 卫
trp_gekokujo_chosokabe_prison_guard_pl|土 佐 监 狱 守 卫
trp_gekokujo_chosokabe_castle_guard|土 佐 城 堡 卫 队
trp_gekokujo_chosokabe_castle_guard_pl|土 佐 城 堡 卫 队
trp_gekokujo_hojo_jizamurai|广 岛 藩 士 
trp_gekokujo_hojo_jizamurai_pl|广 岛 藩 士 
trp_gekokujo_hojo_retainer|广 岛 徒 士 番 
trp_gekokujo_hojo_retainer_pl|广 岛 徒 士 番 
trp_gekokujo_hojo_marksman|广 岛  持 弓 众 
trp_gekokujo_hojo_marksman_pl|广 岛  持 弓 众 
trp_gekokujo_hojo_veteran_retainer|广 岛  小 姓 番 
trp_gekokujo_hojo_veteran_retainer_pl|广 岛  小 姓 番 
trp_gekokujo_hojo_mounted_retainer|广 岛  马 回 众  
trp_gekokujo_hojo_mounted_retainer_pl|广 岛  马 回 众  
trp_gekokujo_hojo_samurai_gunner|广 岛  铁 炮 众  
trp_gekokujo_hojo_samurai_gunner_pl|广 岛  铁 炮 众  
trp_gekokujo_hojo_samurai_archer|广 岛  资 深 持 弓 众 
trp_gekokujo_hojo_samurai_archer_pl|广 岛  资 深 持 弓 众 
trp_gekokujo_hojo_officer|广 岛 协 和 军 
trp_gekokujo_hojo_officer_pl|广 岛 协 和 军 
trp_gekokujo_hojo_mounted_officer|广 岛  骑 马 书 院 番  
